pincode,radius_km
176032,2.92
176033,1.41
176036,13.83
176037,1.51
176038,19.73
176039,10.7
176040,6.12
176041,7.06
176042,6.33
176043,5.38
176044,1.63
176045,1.74
176047,9.85
176048,1.7
176049,14.75
176051,30.0
176052,2.26
176053,15.39
176054,2.56
176055,30.0
176056,11.86
176057,1.52
176058,6.83
176059,2.33
176060,1.08
176061,2.09
176063,7.79
176064,30.0
176065,0.82
176067,1.25
176071,7.0
176073,2.29
176076,5.34
176077,10.41
176081,2.94
176082,10.44
176083,10.12
176084,8.38
176085,1.64
176086,2.06
176087,1.21
176088,1.64
176089,1.49
176090,3.11
176091,1.07
176092,1.81
176093,11.51
176094,30.0
176095,5.43
176096,2.7
176097,0.76
176098,1.71
176101,27.44
176102,1.7
176103,1.71
176107,14.56
176108,6.49
176109,30.0
176110,1.67
176111,5.99
176115,2.23
176125,3.09
176128,1.7
176200,25.26
176201,9.2
176202,16.1
176203,30.0
176204,3.2
176205,18.93
176206,10.43
176207,8.25
176208,5.12
176209,2.89
176210,12.65
176211,1.64
176213,1.41
176214,0.02
176215,0.42
176216,0.93
176217,2.4
176219,0.62
176225,15.6
176301,5.35
176302,30.0
176303,6.42
176304,0.39
176306,1.18
176308,30.0
176309,10.23
176310,0.34
176311,23.39
176312,7.19
176313,2.34
176314,22.06
176315,12.93
176316,5.82
176318,30.0
176319,14.8
176320,30.0
176321,9.62
176323,30.0
176324,8.9
176325,1.92
176326,13.8
176401,3.23
176402,2.65
176403,18.19
176501,3.0
176502,16.83
176601,4.88
177001,22.98
177005,0.56
177006,30.0
177007,10.27
177020,6.43
177022,12.09
177023,13.26
177024,2.01
177025,5.91
177026,5.85
177027,0.96
177028,5.96
177029,30.0
177031,30.0
177033,1.88
177034,30.0
177038,8.63
177039,5.98
177040,1.09
177041,5.04
177042,4.48
177043,13.16
177044,6.8
177045,0.0
177048,30.0
177103,0.0
177104,8.43
177105,7.4
177106,3.43
177107,0.02
177108,1.3
177109,3.59
177110,2.93
177111,30.0
177112,3.41
177113,10.23
177114,3.38
177117,1.77
177119,8.46
177201,0.87
177203,2.36
177204,18.97
177206,30.0
177207,1.73
177208,8.18
177209,1.42
177210,3.9
177211,2.52
177212,15.88
177213,17.57
177219,2.2
177220,1.89
177301,0.87
177401,1.49
177501,0.28
177601,1.03
180001,1.72
180002,3.12
180003,30.0
180004,0.43
180005,0.77
180006,0.68
180007,30.0
180010,0.0
180011,1.56
180012,30.0
180016,0.76
180017,2.32
181101,27.62
181102,30.0
181111,17.87
181121,1.0
181122,4.87
181123,0.23
181131,30.0
181132,30.0
181133,17.21
181141,30.0
181143,20.99
181145,30.0
181201,21.57
181202,30.0
181203,20.92
181204,4.7
181206,7.74
181207,0.08
181221,7.97
181224,28.48
182101,8.69
182146,10.45
182204,30.0
182221,6.65
182311,15.81
182320,0.05
184102,30.0
184104,12.18
184120,20.78
184121,30.0
184141,30.0
184142,30.0
184143,30.0
184144,30.0
184145,30.0
184148,30.0
184151,27.91
184152,15.19
184201,30.0
184202,30.0
184203,30.0
184204,30.0
184205,10.91
184206,30.0
185102,30.0
185133,0.0
185151,30.0
185154,24.86
185202,0.71
190001,1.08
190002,0.54
190003,6.59
190006,3.17
190008,0.56
190009,0.21
190010,0.92
190011,7.22
190015,9.55
190017,3.86
190018,2.45
191101,12.02
191103,30.0
191113,7.27
191121,5.42
191131,1.67
191201,4.29
191202,23.31
192101,25.47
192121,7.16
192122,30.0
192124,8.97
192129,19.26
192202,12.11
192210,17.16
192212,1.59
192221,25.11
192231,8.33
192232,1.09
192233,12.74
192301,2.83
192304,1.91
192306,2.26
192401,4.01
193101,9.49
193103,2.05
193108,4.32
193109,1.46
193121,5.78
193122,30.0
193123,5.85
193201,8.2
193221,19.62
193222,12.42
193223,23.14
193224,10.02
193225,8.6
193301,9.8
193302,4.99
193303,1.17
193401,3.33
193402,10.53
193404,5.08
193411,30.0
193501,7.79
193502,6.99
193503,23.3
193504,3.31
193505,9.02
194107,3.95
194109,20.85
194302,30.0
194401,30.0
201001,3.02
201002,3.11
201003,3.41
201005,1.11
201006,1.3
201008,30.0
201009,2.97
201010,4.79
201015,15.21
201102,5.81
201103,2.02
201201,30.0
201204,6.23
201206,18.05
201301,30.0
201303,30.0
201304,30.0
201305,30.0
201306,30.0
201307,30.0
201309,30.0
201310,30.0
201311,30.0
201312,30.0
201314,10.95
202001,30.0
202002,4.19
202121,7.01
202122,3.8
202123,30.0
202124,2.88
202125,30.0
202126,2.38
202127,4.0
202128,2.72
202129,1.07
202130,7.1
202131,20.03
202132,7.76
202133,4.69
202134,24.52
202135,30.0
202136,5.08
202137,13.1
202138,13.07
202139,30.0
202140,30.0
202141,7.18
202142,4.2
202143,15.0
202145,10.41
202150,30.0
202155,30.0
202165,9.0
202170,1.83
202280,30.0
202281,30.0
202282,30.0
203001,11.36
203002,3.0
203129,3.51
203131,7.85
203132,5.03
203135,8.55
203141,4.28
203150,5.3
203155,3.53
203201,9.52
203202,4.48
203203,5.74
203205,6.09
203206,11.43
203207,30.0
203209,3.09
203389,2.65
203390,7.32
203391,5.07
203392,5.46
203393,5.02
203394,30.0
203395,8.31
203396,3.72
203397,3.86
203398,8.24
203399,2.7
203401,5.48
203402,9.98
203403,7.08
203405,6.85
203407,13.16
203408,4.86
203409,10.38
203411,7.47
203412,5.17
204101,30.0
204102,30.0
204211,23.99
204212,30.0
204213,3.7
204214,30.0
204215,30.0
204216,30.0
205001,30.0
205119,23.71
205121,30.0
205247,30.0
205261,30.0
205262,30.0
205263,30.0
205264,30.0
205265,30.0
205267,14.86
205268,25.08
205301,30.0
205303,16.75
205304,30.0
206001,0.97
206002,4.49
206003,2.95
206120,3.94
206121,6.95
206122,5.12
206123,6.55
206124,3.48
206125,7.66
206126,3.96
206127,3.02
206128,4.09
206129,5.54
206130,2.65
206131,7.12
206241,4.97
206242,7.07
206243,5.55
206244,6.59
206245,5.4
206246,4.68
206247,4.36
206248,3.86
206249,4.92
206250,2.04
206251,2.71
206252,4.51
206253,5.66
206255,2.9
207001,0.38
207002,26.28
207003,7.03
207120,3.91
207121,6.4
207122,3.81
207123,4.83
207124,5.39
207125,4.39
207241,4.51
207242,7.26
207243,13.21
207244,5.66
207245,4.6
207246,5.0
207247,6.81
207248,9.74
207249,12.86
207250,3.09
207301,6.04
207302,7.33
207401,4.45
207402,3.78
207403,6.3
208001,2.97
208002,1.97
208003,0.44
208004,1.03
208005,2.08
208006,2.79
208007,5.38
208008,0.0
208009,1.09
208010,0.86
208011,3.0
208012,2.52
208013,3.51
208014,0.63
208017,5.61
208019,1.34
208020,6.3
208021,18.92
208022,3.77
208023,0.61
208024,0.91
208025,0.29
208027,0.86
209101,5.81
209111,2.82
209112,4.58
209115,5.35
209121,5.48
209125,5.73
209202,8.56
209203,8.11
209204,7.1
209205,3.22
209206,8.44
209208,2.23
209209,3.54
209210,13.87
209214,1.91
209217,0.63
209301,22.06
209302,5.32
209303,10.55
209304,0.03
209305,30.0
209306,8.92
209307,4.91
209308,30.0
209310,3.59
209311,4.25
209312,4.02
209401,0.33
209402,30.0
209502,4.5
209504,2.62
209505,0.19
209601,1.46
209602,30.0
209621,5.35
209622,30.0
209625,7.56
209651,30.0
209720,8.66
209721,5.84
209722,0.23
209723,5.7
209724,0.0
209725,0.07
209733,1.84
209736,16.33
209738,22.24
209739,30.0
209743,7.85
209749,0.47
209801,13.01
209821,10.76
209825,21.97
209827,19.33
209831,20.25
209841,24.76
209859,10.5
209860,7.93
209861,1.1
209862,4.59
209863,30.0
209864,11.52
209865,6.12
209866,12.73
209867,30.0
209868,9.67
209869,21.92
209870,12.83
209871,12.7
209881,26.65
210001,10.97
210120,16.12
210121,9.57
210123,4.57
210125,10.44
210126,7.05
210128,7.23
210129,13.94
210201,5.18
210202,5.64
210203,7.6
210204,5.5
210205,8.68
210206,7.04
210207,17.59
210208,30.0
210209,18.3
210301,20.53
210341,30.0
210421,14.16
210422,30.0
210423,12.91
210424,19.42
210425,30.0
210426,5.84
210427,6.26
210428,3.48
210429,17.35
210430,12.77
210431,30.0
210432,12.43
210433,8.59
210501,5.61
210502,8.64
210504,30.0
210505,16.33
210506,7.22
210507,10.92
211001,11.2
211002,6.75
211003,30.0
211004,0.46
211006,30.0
211007,2.29
211008,0.46
211010,3.84
211011,1.59
211012,30.0
211013,0.21
211016,1.03
211019,0.15
211020,2.78
212104,30.0
212106,15.92
212107,30.0
212108,25.36
212109,30.0
212111,5.49
212201,30.0
212202,30.0
212203,30.0
212204,30.0
212205,30.0
212206,12.55
212207,6.71
212208,5.37
212213,6.49
212214,16.9
212216,20.92
212217,10.8
212218,30.0
212301,7.18
212302,20.41
212303,13.41
212305,30.0
212306,13.93
212307,12.3
212401,27.07
212402,30.0
212404,15.5
212405,30.0
212502,30.0
212503,14.21
212507,7.27
212601,5.89
212620,3.58
212621,8.11
212622,19.02
212631,6.05
212635,1.61
212641,22.44
212645,27.65
212650,30.0
212651,26.43
212652,16.16
212653,16.21
212654,19.16
212655,20.66
212656,24.65
212657,30.0
212658,30.0
212659,3.3
212661,21.63
212663,13.61
212664,2.85
212665,4.07
221001,12.43
221002,1.63
221003,1.95
221004,20.01
221005,10.15
221006,0.55
221007,3.37
221008,3.92
221010,6.67
221011,0.59
221101,0.19
221104,8.01
221105,0.3
221106,0.48
221107,1.62
221108,2.37
221112,0.0
221115,1.3
221116,7.58
221201,0.15
221202,14.91
221204,0.23
221206,7.39
221207,9.54
221208,8.77
221301,3.15
221302,5.26
221303,5.48
221304,6.21
221305,10.78
221306,2.58
221307,6.78
221308,5.56
221309,1.29
221310,4.41
221311,4.13
221313,5.72
221314,3.74
221401,3.15
221402,0.13
221403,3.13
221404,6.79
221405,3.52
221406,7.8
221409,7.09
221502,30.0
221503,4.41
221505,30.0
